dataset,algorithm,n_clusters,metric,param_m,param_alpha,run_id,runtime,ari,purity,davies_bouldin,f_measure
adult,FCM_Standard,2,euclidean,1.5,1.0,0,10.253034709021449,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,1,12.209824832854792,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,2,11.326831207843497,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,3,10.842057832982391,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,4,11.150358750019222,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,5,12.059658082900569,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,6,12.458805541973561,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,7,10.54247820796445,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,8,9.974489083047956,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Standard,2,euclidean,1.5,1.0,9,11.400377166923136,0.17726786029875632,0.7147741697719177,2.0473470912649723,0.7342512045842933
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,0,4.305449916981161,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,1,4.70341887511313,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,2,4.3207983339671046,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,3,4.33374929218553,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,4,4.318238083040342,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,5,4.771348458016291,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,6,4.761492041870952,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,7,4.331356874899939,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,8,4.323967417003587,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Suppressed_0.7,2,euclidean,1.5,0.7,9,5.2261332499329,0.17983932287028886,0.716473526882601,2.040635549854105,0.7357322466020073
adult,FCM_Standard,2,euclidean,2.0,1.0,0,7.389838832896203,0.17767176922592667,0.7150608083207076,2.045669260598359,0.7344935895466784
adult,FCM_Standard,2,euclidean,2.0,1.0,1,3.9528375000227243,0.17767176922592667,0.7150608083207076,2.045669260598359,0.7344935895466784
adult,FCM_Standard,2,euclidean,2.0,1.0,2,5.3246329999528825,0.17767176922592667,0.7150608083207076,2.045669260598359,0.7344935895466784
adult,FCM_Standard,2,euclidean,2.0,1.0,3,6.992796416860074,0.17767176922592667,0.7150608083207076,2.045669260598359,0.7344935895466784
